time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-10T14:49:57.457Z,-22.923,170.8756,10,5.1,mb,,109,8.476,1.28,us,us6000dg8r,2021-02-10T15:09:51.040Z,southeast of the Loyalty Islands,earthquake,13.7,1.9,0.086,44,reviewed,us,us
2021-02-10T14:37:22.040Z,-22.7176,171.5166,10,5.2,mb,,75,7.881,0.84,us,us6000dg8l,2021-02-10T14:53:34.040Z,southeast of the Loyalty Islands,earthquake,10.6,1.9,0.095,37,reviewed,us,us
2021-02-10T14:30:24.547Z,-22.7878,172.0663,10,5,mb,,105,7.532,1.22,us,us6000dg8j,2021-02-10T14:49:40.040Z,southeast of the Loyalty Islands,earthquake,12.5,1.9,0.111,26,reviewed,us,us
2021-02-10T14:18:20.352Z,-22.6942,171.7785,10,5.6,mb,,64,7.676,0.93,us,us6000dg8c,2021-02-10T16:21:31.050Z,southeast of the Loyalty Islands,earthquake,10.1,1.9,0.041,215,reviewed,us,us
2021-02-10T13:57:18.338Z,-22.6348,171.5387,10,5.2,mb,,112,7.814,0.8,us,us6000dg99,2021-02-10T15:23:36.040Z,southeast of the Loyalty Islands,earthquake,13.7,1.9,0.122,22,reviewed,us,us
2021-02-10T13:20:00.140Z,-23.2507,171.4851,10,7.7,mww,,33,8.238,1.73,us,us6000dg77,2021-02-10T16:49:43.040Z,southeast of the Loyalty Islands,earthquake,9.3,1.8,0.042,54,reviewed,us,us
2021-02-10T13:02:00.059Z,-22.7819,171.5776,10,6.1,mww,,118,7.876,1.03,us,us6000dg72,2021-02-10T17:11:57.040Z,southeast of the Loyalty Islands,earthquake,12.4,1.9,0.086,13,reviewed,us,us
2021-02-10T12:52:27.660Z,-5.6626,101.6647,10,6.2,mww,,29,1.824,0.68,us,us6000dg70,2021-02-10T18:11:56.788Z,"216 km SSW of Bengkulu, Indonesia",earthquake,6.6,1.7,0.056,31,reviewed,us,us
2021-02-10T12:32:11.852Z,-22.5523,171.4567,10,5.7,mww,,60,7.826,0.62,us,us6000dg6v,2021-02-10T17:22:06.040Z,southeast of the Loyalty Islands,earthquake,12.2,1.8,0.098,10,reviewed,us,us
2021-02-10T12:24:21.709Z,-22.8608,171.6454,10,6,mww,,39,7.876,1.13,us,us6000dg6u,2021-02-10T18:25:10.923Z,southeast of the Loyalty Islands,earthquake,11.3,1.8,0.049,40,reviewed,us,us
2021-02-10T10:21:32.774Z,-5.6245,101.6833,10,5.1,mb,,58,1.784,0.64,us,us6000dg6b,2021-02-10T10:46:19.040Z,"211 km SSW of Bengkulu, Indonesia",earthquake,7,1.7,0.067,72,reviewed,us,us
2021-02-10T10:15:34.630Z,-5.6097,101.6902,10,5.1,mb,,81,1.769,0.64,us,us6000dg6a,2021-02-10T10:32:52.040Z,"210 km SSW of Bengkulu, Indonesia",earthquake,4.9,1.7,0.079,52,reviewed,us,us
2021-02-10T10:03:13.359Z,4.9077,127.3783,113.96,5.1,mb,,109,2.795,0.52,us,us6000dg69,2021-02-10T10:20:13.040Z,"208 km SE of Pondaguitan, Philippines",earthquake,8.6,6.8,0.056,103,reviewed,us,us
2021-02-10T08:47:40.295Z,12.9485,-88.4204,91.57,5,mb,,81,1.387,1.29,us,us6000dg5d,2021-02-10T18:27:23.445Z,"38 km SSW of Jucuarán, El Salvador",earthquake,6,6.7,0.032,318,reviewed,us,us
2021-02-10T08:22:32.092Z,-13.5934,-111.5909,10,5.7,mww,,126,33.522,1.06,us,us6000dg56,2021-02-10T17:42:19.040Z,central East Pacific Rise,earthquake,8.5,1.8,0.069,20,reviewed,us,us
2021-02-09T23:25:47.265Z,-1.1479,28.6334,10,4.5,mb,,89,2.173,1.12,us,us6000dg2e,2021-02-10T00:07:44.040Z,"65 km NW of Sake, Democratic Republic of the Congo",earthquake,10.4,2,0.127,18,reviewed,us,us
2021-02-09T15:51:55.870Z,38.6148,31.589,10,4.8,mb,,56,1.147,0.63,us,us6000dfyz,2021-02-09T16:38:06.955Z,"15 km NNW of Tuzlukçu, Turkey",earthquake,5,1.9,0.107,28,reviewed,us,us
2021-02-09T12:47:32.483Z,-6.4249,130,172.09,4.5,mb,,99,2.013,1.27,us,us6000dfxz,2021-02-09T13:06:53.040Z,Banda Sea,earthquake,9.2,10.3,0.205,7,reviewed,us,us
2021-02-09T11:28:20.615Z,-18.6278,-69.9874,96.14,4.8,mb,,86,0.323,0.55,us,us6000dfxe,2021-02-09T15:40:47.985Z,"36 km ESE of Arica, Chile",earthquake,4.9,5.5,0.039,205,reviewed,us,us
